Marketing expense,Production expense,Multiplex coverage,Budget,Movie_length,Lead_ Actor_Rating,Lead_Actress_rating,Director_rating,Producer_rating,Critic_rating,Trailer_views,3D_available,Time_taken,Twitter_hastags,Avg_age_actors,Num_multiplex,Collection,Genre_Action,Genre_Comedy,Genre_Drama,Genre_Thriller
156.0234,91.2,0.287,33779.955,157.9,8.63,8.76,8.6,8.575,7.96,438369,1,108.0,283.2,27,727,40000,0,0,1,0
173.4404,91.2,0.307,31924.585,172.4,9.135,9.23,9.125,9.24,6.96,384688,0,185.4,281.36,22,663,17000,0,1,0,0
29.5094,74.8,0.456,33957.715,132.3,7.965,8.07,7.88,8.08,7.32,471282,0,206.4,243.36,36,542,42000,1,0,0,0
68.9906,94.16,0.395,35563.11,168.7,8.85,8.94,8.835,8.85,8.06,449755,0,110.92,303.568,22,536,44600,1,0,0,0
148.881,91.2,0.416,35690.875,148.3,8.8,9.04,8.83,8.93,7.96,458882,1,174.44,202.576,42,538,32200,0,1,0,0
20.5526,60.9,0.572,36635.225,95.3,7.175,7.325,7.225,7.475,8.34,553070,1,138.32,244.928,49,451,61600,0,0,0,1
20.63,57.94,0.597,38746.125,88.8,6.015,6.24,6.11,6.33,8.6,536549,1,159.96,265.584,24,413,69800,0,1,0,0
66.008,94.16,0.395,35102.045,169.6,8.855,8.98,8.88,9.085,8.06,473988,0,133.52,223.808,23,663,47600,0,1,0,0
20.723,64.9,0.589,36829.65,96.9,7.375,7.48,7.315,7.595,8.16,529498,0,169.16,244.464,37,390,55800,0,0,0,1
145.7614,91.2,0.26,35224.255,169.9,8.885,8.98,8.89,9.105,7.96,401882,0,203.96,302.384,41,707,29800,0,1,0,0
23.4892,76.18,0.511,33107.8,165.6,8.045,8.185,8.02,8.0,8.28,402133,1,160.68,243.472,36,446,43400,0,1,0,0
22.292,68.92,0.536,36318.59,132.2,7.995,8.185,7.94,8.045,7.28,502420,1,169.76,263.904,40,440,48800,0,0,0,1
298.268,91.2,0.287,34485.44,168.5,8.78,8.955,8.845,8.975,7.96,420282,0,156.68,221.872,37,749,23400,0,1,0,0
21.2152,78.86,0.427,38751.68,164.5,8.83,8.97,8.855,9.01,7.8,532239,0,109.56,243.824,31,576,47800,0,1,0,0
21.2254,67.82,0.553,37918.43,101.1,7.43,7.58,7.54,7.725,7.48,516911,0,125.24,225.296,21,417,66200,0,0,0,1
21.4044,63.1,0.49,33441.1,120.7,8.125,8.295,8.11,8.36,7.68,491916,1,171.28,303.712,49,520,46400,0,0,1,0
83.272,91.2,0.345,31991.245,121.7,8.37,8.595,8.365,8.54,6.96,431316,0,199.96,243.184,43,660,39800,0,1,0,0
183.0348,91.2,0.3,29941.45,172.4,9.0,9.25,9.025,9.265,7.96,369811,0,120.6,241.84,51,616,23000,1,0,0,0
26.5964,98.78,0.376,32341.21,168.9,8.635,8.79,8.735,8.895,7.76,426316,1,205.36,202.944,58,617,36800,1,0,0,0
259.022,91.2,0.341,31152.44,173.5,9.27,9.46,9.305,9.39,7.96,434373,1,133.16,264.464,26,672,55800,0,0,0,1
32.4712,67.4,0.493,38212.845,151.2,8.295,8.395,8.31,8.455,7.52,470809,1,189.0,244.4,50,469,55000,1,0,0,0
21.6442,66.72,0.569,38646.135,80.3,5.41,5.575,5.45,5.755,7.18,534094,0,179.84,244.736,57,396,59200,1,0,0,0
21.072,66.28,0.561,36168.605,94.6,6.49,6.62,6.44,6.815,8.64,504792,0,198.0,284.0,56,462,50000,0,0,0,1
23.9604,76.18,0.511,34341.01,115.9,7.925,8.095,8.02,8.065,7.28,456943,1,157.3914979757085,244.0,30,480,50000,0,0,1,0
27.0228,69.76,0.507,33557.755,123.4,7.535,7.785,7.565,7.67,8.08,491464,0,178.16,263.264,40,457,40800,0,1,0,0
195.8424,91.2,0.416,30913.575,144.1,8.87,9.005,8.81,9.185,6.96,398327,0,156.68,221.872,57,638,23400,0,1,0,0
337.206,91.2,0.321,32752.28,168.9,8.925,9.145,9.015,9.095,7.96,349335,1,111.32,301.328,51,674,16600,0,0,1,0
22.9864,65.26,0.547,31891.255,139.7,6.335,6.42,6.235,6.56,7.06,465689,0,157.3914979757085,222.992,30,439,37400,0,0,0,1
44.4716,94.16,0.395,38568.365,170.9,9.005,9.12,9.04,9.08,9.06,501350,1,164.52,266.608,57,549,82600,0,1,0,0
36.5052,62.94,0.353,40701.485,168.0,8.795,8.99,8.895,9.16,8.4,450060,1,114.4,224.96,60,555,62000,0,1,0,0
21.5792,80.66,0.563,34846.515,79.5,7.73,8.025,7.715,8.025,7.26,488560,0,157.64,203.856,40,389,48200,0,0,0,1
